Vernier Format 2
Rocket Engine Force 4/15/2020 11:34:26 .
B4-2 Engine
Time	Force
t	Force
s	N
0	-0.0227081769845
0.02	0.00756939232815
0.04	-0.0227081769845
0.06	0.00756939232815
0.08	-0.0227081769845
0.1	-0.0227081769845
0.12	-0.0227081769845
0.14	0.00756939232815
0.16	0.00756939232815
0.18	0.00756939232815
0.2	-0.0227081769845
0.22	0.00756939232815
0.24	0.00756939232815
0.26	-0.0227081769845
0.28	0.00756939232815
0.3	0.00756939232815
0.32	0.00756939232815
0.34	-0.0227081769845
0.36	-0.0227081769845
0.38	0.00756939232815
0.4	-0.0227081769845
0.42	-0.0227081769845
0.44	0.00756939232815
0.46	0.00756939232815
0.48	0.00756939232815
0.5	-0.0227081769845
0.52	-0.0227081769845
0.54	0.00756939232815
0.56	0.00756939232815
0.58	0.00756939232815
0.6	-0.0227081769845
0.62	-0.0227081769845
0.64	-0.0227081769845
0.66	-0.0227081769845
0.68	0.00756939232815
0.7	0.00756939232815
0.72	0.00756939232815
0.74	-0.0227081769845
0.76	0.00756939232815
0.78	-0.0227081769845
0.8	-0.0227081769845
0.82	0.00756939232815
0.84	0.00756939232815
0.86	-0.0227081769845
0.88	-0.0227081769845
0.9	-0.0227081769845
0.92	0.00756939232815
0.94	0.00756939232815
0.96	-0.0227081769845
0.98	-0.0227081769845
1	-0.0227081769845
1.02	-0.0227081769845
1.04	-0.0227081769845
1.06	-0.0227081769845
1.08	0.00756939232815
1.1	0.00756939232815
1.12	0.00756939232815
1.14	-0.0227081769845
1.16	0.00756939232815
1.18	0.00756939232815
1.2	0.00756939232815
1.22	0.00756939232815
1.24	-0.0227081769845
1.26	-0.0227081769845
1.28	-0.0227081769845
1.3	0.00756939232815
1.32	-0.0227081769845
1.34	0.00756939232815
1.36	0.00756939232815
1.38	-0.0227081769845
1.4	-0.0227081769845
1.42	0.00756939232815
1.44	0.00756939232815
1.46	-0.0227081769845
1.48	-0.0227081769845
1.5	0.00756939232815
1.52	0.00756939232815
1.54	0.00756939232815
1.56	-0.0227081769845
1.58	0.00756939232815
1.6	-0.0227081769845
1.62	-0.0227081769845
1.64	0.00756939232815
1.66	0.00756939232815
1.68	-0.0227081769845
1.7	-0.0227081769845
1.72	-0.0227081769845
1.74	-0.0227081769845
1.76	-0.0227081769845
1.78	0.00756939232815
1.8	-0.0227081769845
1.82	-0.0227081769845
1.84	0.00756939232815
1.86	0.00756939232815
1.88	-0.0227081769845
1.9	-0.0227081769845
1.92	-0.0227081769845
1.94	-0.0227081769845
1.96	0.00756939232815
1.98	0.00756939232815
2	-0.0227081769845
2.02	0.00756939232815
2.04	0.00756939232815
2.06	0.00756939232815
2.08	-0.0227081769845
2.1	-0.0227081769845
2.12	-0.0227081769845
2.14	0.00756939232815
2.16	0.00756939232815
2.18	0.00756939232815
2.2	-0.0227081769845
2.22	-0.0227081769845
2.24	0.00756939232815
2.26	0.00756939232815
2.28	0.00756939232815
2.3	-0.0227081769845
2.32	-0.0227081769845
2.34	-0.0227081769845
2.36	-0.0227081769845
2.38	-0.0529857462971
2.4	-0.0227081769845
2.42	-0.0832633156097
2.44	-0.174096023547
2.46	-0.232758814091
2.48	-0.263036383403
2.5	-0.384146660654
2.52	-0.563919728447
2.54	-0.895080642804
2.56	-1.64634283137
2.58	-2.87826143278
2.6	-4.65139158565
2.62	-6.87490058204
2.64	-9.03785443981
2.66	-10.0899999734
2.68	-9.0075768705
2.7	-7.08495121915
2.72	-5.3723762049
2.74	-4.17073517281
2.76	-3.74874155052
2.78	-3.95879218762
2.8	-4.17073517281
2.82	-3.83957425845
2.84	-3.14886720851
2.86	-2.51682294911
2.88	-2.42788258925
2.9	-2.87826143278
2.92	-3.29836270699
2.94	-3.3286402763
2.96	-2.90853900209
2.98	-2.33704988132
3	-2.21593960407
3.02	-2.57737808774
3.04	-3.14886720851
3.06	-3.38919541493
3.08	-3.20752999905
3.1	-2.78742872484
3.12	-2.45626781048
