Vernier Format 2
Rocket Engine Force 4/15/2020 11:34:26 .
A8-3 Engine
Time	Force
t	Force
s	N
0	0.765145265119
0.02	0.765145265119
0.04	0.765145265119
0.06	0.795422834432
0.08	0.795422834432
0.1	0.795422834432
0.12	0.795422834432
0.14	0.795422834432
0.16	0.795422834432
0.18	0.795422834432
0.2	0.795422834432
0.22	0.795422834432
0.24	0.795422834432
0.26	0.795422834432
0.28	0.795422834432
0.3	0.795422834432
0.32	0.795422834432
0.34	0.795422834432
0.36	0.795422834432
0.38	0.795422834432
0.4	0.795422834432
0.42	0.795422834432
0.44	0.795422834432
0.46	0.795422834432
0.48	0.795422834432
0.5	0.795422834432
0.52	0.765145265119
0.54	0.795422834432
0.56	0.795422834432
0.58	0.795422834432
0.6	0.795422834432
0.62	0.765145265119
0.64	0.765145265119
0.66	0.795422834432
0.68	0.795422834432
0.7	0.795422834432
0.72	0.795422834432
0.74	0.795422834432
0.76	0.765145265119
0.78	0.765145265119
0.8	0.795422834432
0.82	0.795422834432
0.84	0.795422834432
0.86	0.795422834432
0.88	0.795422834432
0.9	0.795422834432
0.92	0.795422834432
0.94	0.795422834432
0.96	0.795422834432
0.98	0.795422834432
1	0.795422834432
1.02	0.765145265119
1.04	0.795422834432
1.06	0.795422834432
1.08	0.795422834432
1.1	0.795422834432
1.12	0.795422834432
1.14	0.765145265119
1.16	0.795422834432
1.18	0.795422834432
1.2	0.795422834432
1.22	0.795422834432
1.24	0.795422834432
1.26	0.795422834432
1.28	0.765145265119
1.3	0.795422834432
1.32	0.795422834432
1.34	0.795422834432
1.36	0.795422834432
1.38	0.795422834432
1.4	0.795422834432
1.42	0.795422834432
1.44	0.795422834432
1.46	0.795422834432
1.48	0.795422834432
1.5	0.795422834432
1.52	0.765145265119
1.54	0.795422834432
1.56	0.795422834432
1.58	0.795422834432
1.6	0.795422834432
1.62	0.795422834432
1.64	0.765145265119
1.66	0.795422834432
1.68	0.795422834432
1.7	0.795422834432
1.72	0.795422834432
1.74	0.795422834432
1.76	0.765145265119
1.78	0.795422834432
1.8	0.795422834432
1.82	0.795422834432
1.84	0.795422834432
1.86	0.795422834432
1.88	0.795422834432
1.9	0.765145265119
1.92	0.795422834432
1.94	0.795422834432
1.96	0.795422834432
1.98	0.795422834432
2	0.795422834432
2.02	0.795422834432
2.04	0.736760043888
2.06	0.736760043888
2.08	0.706482474576
2.1	0.645927335951
2.12	0.615649766638
2.14	0.615649766638
2.16	0.5248170587
2.18	0.466154268157
2.2	0.375321560219
2.22	0.1349933538
2.24	-0.436495766975
2.26	-1.2766983154
2.28	-2.53889448612
2.3	-4.10197400188
2.32	-5.66505351764
2.34	-6.41631570621
2.36	-6.35576056759
2.38	-5.39444774191
2.4	-4.64318555334
2.42	-3.92220093409
2.44	-3.44154452125
2.46	-3.320434244
2.48	-3.14066117621
2.5	-2.83977783116
2.52	-2.38939898764
2.54	-2.05823807328
2.56	-1.99768293466
2.58	-2.17934835053
2.6	-2.35912141833
2.62	-2.26828871039
2.64	-1.99768293466
2.66	-1.69869193769
2.68	-1.66841436838
2.7	-1.93902014411
2.72	-2.20962591984
2.74	-1.99768293466
2.76	-1.06664767829
2.78	-0.0750572833058
2.8	0.555094628013
2.82	0.676204905263
2.84	0.49643183747
2.86	0.256103631051
2.88	0.284488852281
2.9	0.615649766638
2.92	0.916533111682
2.94	0.886255542369
2.96	0.645927335951
2.98	0.435876698844
3	0.375321560219
3.02	0.615649766638
3.04	0.977088250307
3.06	0.977088250307
3.08	0.736760043888
3.1	0.466154268157
3.12	0.405599129532
3.14	0.555094628013
3.16	0.825700403744
3.18	1.00736581962
3.2	0.855977973057
3.22	0.5248170587
3.24	0.405599129532
3.26	0.555094628013
3.28	0.886255542369
3.3	1.03575104085
3.32	0.886255542369
3.34	0.615649766638
3.36	0.435876698844
3.38	0.49643183747
3.4	0.736760043888
3.42	0.977088250307
3.44	0.977088250307
3.46	0.736760043888
