Vernier Format 2
Rocket Engine Force 4/15/2020 11:34:26 
B6-2 Engine
Time	Force
t	Force
s	N
0	0.765145265119
0.02	0.765145265119
0.04	0.765145265119
0.06	0.765145265119
0.08	0.765145265119
0.1	0.765145265119
0.12	0.765145265119
0.14	0.765145265119
0.16	0.765145265119
0.18	0.765145265119
0.2	0.765145265119
0.22	0.765145265119
0.24	0.765145265119
0.26	0.765145265119
0.28	0.765145265119
0.3	0.765145265119
0.32	0.765145265119
0.34	0.765145265119
0.36	0.765145265119
0.38	0.765145265119
0.4	0.765145265119
0.42	0.765145265119
0.44	0.765145265119
0.46	0.765145265119
0.48	0.765145265119
0.5	0.765145265119
0.52	0.765145265119
0.54	0.765145265119
0.56	0.765145265119
0.58	0.765145265119
0.6	0.765145265119
0.62	0.765145265119
0.64	0.765145265119
0.66	0.765145265119
0.68	0.765145265119
0.7	0.765145265119
0.72	0.765145265119
0.74	0.765145265119
0.76	0.765145265119
0.78	0.765145265119
0.8	0.765145265119
0.82	0.765145265119
0.84	0.765145265119
0.86	0.765145265119
0.88	0.765145265119
0.9	0.765145265119
0.92	0.765145265119
0.94	0.765145265119
0.96	0.765145265119
0.98	0.765145265119
1	0.765145265119
1.02	0.765145265119
1.04	0.765145265119
1.06	0.765145265119
1.08	0.765145265119
1.1	0.765145265119
1.12	0.765145265119
1.14	0.765145265119
1.16	0.765145265119
1.18	0.765145265119
1.2	0.765145265119
1.22	0.765145265119
1.24	0.765145265119
1.26	0.765145265119
1.28	0.765145265119
1.3	0.765145265119
1.32	0.765145265119
1.34	0.736760043888
1.36	0.765145265119
1.38	0.765145265119
1.4	0.765145265119
1.42	0.765145265119
1.44	0.765145265119
1.46	0.765145265119
1.48	0.765145265119
1.5	0.49643183747
1.52	0.49643183747
1.54	0.345043990907
1.56	-0.0750572833058
1.58	-0.646546404081
1.6	-1.15748038623
1.62	-1.72896950701
1.64	-2.14907078122
1.66	-2.35912141833
1.68	-2.35912141833
1.7	-2.41967655695
1.72	-2.56917205543
1.74	-2.77922269254
1.76	-3.08010603758
1.78	-3.11038360689
1.8	-3.01955089896
1.82	-2.87005540048
1.84	-2.77922269254
1.86	-2.87005540048
1.88	-3.04982846827
1.9	-3.17093874552
1.92	-3.17093874552
1.94	-3.01955089896
1.96	-2.90033296979
1.98	-2.96088810841
2	-3.17093874552
2.02	-3.29015667469
2.04	-3.29015667469
2.06	-3.11038360689
2.08	-2.87005540048
2.1	-2.74894512322
2.12	-2.80950026185
2.14	-2.96088810841
2.16	-3.01955089896
2.18	-2.87005540048
2.2	-2.66000476337
2.22	-2.48023169558
2.24	-2.48023169558
2.26	-2.62972719406
2.28	-2.74894512322
2.3	-2.72055990199
2.32	-2.56917205543
2.34	-2.41967655695
2.36	-2.48023169558
2.38	-2.62972719406
2.4	-2.74894512322
2.42	-2.74894512322
2.44	-2.62972719406
2.46	-2.48023169558
2.48	-2.41967655695
2.5	-2.50861691681
2.52	-2.69028233268
2.54	-2.74894512322
2.56	-2.62972719406
2.58	-2.50861691681
2.6	-2.41967655695
2.62	-2.50861691681
2.64	-2.62972719406
2.66	-2.74894512322
2.68	-2.69028233268
2.7	-2.50861691681
2.72	-2.41967655695
2.74	-2.41967655695
2.76	-2.59944962474
2.78	-2.72055990199
2.8	-2.69028233268
2.82	-2.48023169558
2.84	-1.66841436838
2.86	-0.707101542706
2.88	0.01388307655
2.9	0.405599129532
2.92	0.585372197325
2.94	0.615649766638
2.96	0.555094628013
2.98	0.5248170587
3	0.585372197325
3.02	0.676204905263
3.04	0.706482474576
3.06	0.645927335951
3.08	0.585372197325
3.1	0.5248170587
3.12	0.555094628013
3.14	0.645927335951
3.16	0.736760043888
3.18	0.736760043888
3.2	0.615649766638
3.22	0.555094628013
3.24	0.585372197325
3.26	0.645927335951
3.28	0.736760043888
3.3	0.706482474576
3.32	0.615649766638
3.34	0.555094628013
3.36	0.585372197325
3.38	0.645927335951
3.4	0.765145265119
